OBJECT_ID,WINDCODES,INDUSTRYCODES
392990045,,882509.WI:房地产开发|882247.WI:房地产管理与开发|882118.WI:房地产|882007.WI:金融|ON0308:Wind行业分类|6240401020:房地产开发|6240401000:房地产管理与开发|6240400000:房地产|6240000000:金融|851811.SI:房地产开发Ⅲ|801181.SI:房地产开发Ⅱ|801180.SI:房地产(申万)|ON0302:申万行业|886057.WI:房地产|3727:Wind主题行业|CI005023.WI:房地产(中信)|ON0301:中信行业|883010.WI:房地产(证监会)|ON0303:Wind证监会行业|ON03:行业
392990046,835337.OC:华龙证券|ON0207:三板股|T14823.OC:正本清源(挂牌终止)|ON02:公司,
392990049,,
392990052,,
392990072,0PD9C55338:中铁大桥局集团有限公司|378301:发债主体|3783:非上市公司|110076:中国广核集团有限公司|2002233:中国长江三峡集团公司|101456073.IB:14中广核MTN001|1474:企债|1467:所有债券|101456087.IB:14中广核MTN002|101553031.IB:15中广核MTN001|101653021.IB:16中广核MTN001|136869.SH:16广核01|068022.IB:06三峡债|101352003.IB:13三峡MTN003|1282055.IB:12三峡MTN1|1282272.IB:12三峡MTN2|1382092.IB:13三峡MTN1|078027.IB:07三峡债|120605.SH:06三峡债|1382172.IB:13三峡MTN2|101452003.IB:14三峡MTN001(3年期)|101452004.IB:14三峡MTN001(5年期)|101452024.IB:14三峡MTN002|068022.BC:06三峡债(柜台)|101552006.IB:15三峡MTN001|101552011.IB:15三峡MTN002|101552031.IB:15三峡MTN003|136683.SH:G16三峡2|136833.SH:G16三峡3|101652015.IB:16三峡MTN001|101652022.IB:16三峡MTN002(5年期)|136682.SH:G16三峡1|101652023.IB:16三峡MTN002(7年期)|ON02:公司,882528.WI:电力|882258.WI:电力Ⅲ|882123.WI:公用事业Ⅱ|882010.WI:公用事业|ON0308:Wind行业分类|6255101010:电力|6255101000:电力Ⅲ|6255100000:公用事业Ⅱ|6255000000:公用事业|851615.SI:新能源发电|801161.SI:电力|801160.SI:公用事业(申万)|ON0302:申万行业|6255102010:燃气|6255102000:燃气Ⅲ|6210102010:综合性石油天然气|6210102000:石油、天然气与供消费用燃料|6210100000:能源Ⅱ|6210000000:能源|851631.SI:燃气Ⅲ|801163.SI:燃气Ⅱ|882402.WI:综合性石油天然气|882201.WI:石油、天然气与供消费用燃料|882100.WI:能源Ⅱ|882001.WI:能源|882529.WI:燃气|882259.WI:燃气Ⅲ|886017.WI:电工电网|3727:Wind主题行业|886065.WI:电力|883004.WI:公用事业(证监会)|ON0303:Wind证监会行业|CI005004.WI:电力及公用事业(中信)|ON0301:中信行业|886002.WI:石油天然气|883002.WI:采掘行业(证监会)|883003.WI:制造行业(证监会)|883105.WI:石油化工(证监会)|CI005001.WI:石油石化(中信)|886066.WI:燃气|ON03:行业
392990082,AGFI.WI:沪银|ON0241:Wind商品|NMFI.WI:Wind贵金属|NH0400:南华金属收益率|1485:商品类|NH0100:南华商品收益率|CCFI.WI:Wind商品|ON02:公司,6210102010:综合性石油天然气|6210102000:石油、天然气与供消费用燃料|6210100000:能源Ⅱ|6210000000:能源|850313.SI:石油贸易|801035.SI:石油化工|801030.SI:化工(申万)|ON0302:申万行业|882402.WI:综合性石油天然气|882201.WI:石油、天然气与供消费用燃料|882100.WI:能源Ⅱ|882001.WI:能源|ON0308:Wind行业分类|886002.WI:石油天然气|3727:Wind主题行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883003.WI:制造行业(证监会)|883105.WI:石油化工(证监会)|CI005001.WI:石油石化(中信)|ON0301:中信行业|ON03:行业
392990116,,6210102010:综合性石油天然气|6210102000:石油、天然气与供消费用燃料|6210100000:能源Ⅱ|6210000000:能源|850313.SI:石油贸易|801035.SI:石油化工|801030.SI:化工(申万)|ON0302:申万行业|882402.WI:综合性石油天然气|882201.WI:石油、天然气与供消费用燃料|882100.WI:能源Ⅱ|882001.WI:能源|ON0308:Wind行业分类|6210101010:石油天然气钻井|6210101000:能源设备与服务|850241.SI:油气钻采服务|801024.SI:采掘服务Ⅱ|801020.SI:采掘(申万)|882400.WI:石油天然气钻井|882200.WI:能源设备与服务|886002.WI:石油天然气|3727:Wind主题行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883003.WI:制造行业(证监会)|883105.WI:石油化工(证监会)|CI005001.WI:石油石化(中信)|ON0301:中信行业|ON03:行业
392990118,AGFI.WI:沪银|ON0241:Wind商品|NMFI.WI:Wind贵金属|NH0400:南华金属收益率|1485:商品类|NH0100:南华商品收益率|CCFI.WI:Wind商品|ON02:公司,882416.WI:贵金属与矿石|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|ON0308:Wind行业分类|6215104040:贵金属与矿石|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|886011.WI:贵金属|3727:Wind主题行业|886010.WI:基本金属|CI005003.WI:有色金属(中信)|ON0301:中信行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883107.WI:金属非金属(证监会)|ON03:行业
392990128,NH0100:南华商品收益率|1485:商品类,6215104040:贵金属与矿石|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|882416.WI:贵金属与矿石|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|ON0308:Wind行业分类|886011.WI:贵金属|3727:Wind主题行业|886010.WI:基本金属|CI005003.WI:有色金属(中信)|ON0301:中信行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883107.WI:金属非金属(证监会)|ON03:行业
392990140,,
